taxonKey,acceptedScientificName,Classification,Description,n_climate,n_totaal,perc_climate,scenario
5347603,Genista januensis,Cfb,Temperate oceanic climate,21,91,0.23076923076923078,2071-2100_Beck
3173337,Buddleja alternifolia,Cfb,Temperate oceanic climate,41,128,0.3203125,2071-2100_Beck
5347603,Genista januensis,Cfb,Temperate oceanic climate,21,91,0.23076923076923078,2001-2025-A1FI
3173337,Buddleja alternifolia,Cfb,Temperate oceanic climate,41,128,0.3203125,2001-2025-A1FI
5347603,Genista januensis,Cfb,Temperate oceanic climate,21,91,0.23076923076923078,2026-2050-A1FI
3173337,Buddleja alternifolia,Cfb,Temperate oceanic climate,41,128,0.3203125,2026-2050-A1FI
5347603,Genista januensis,Cfb,Temperate oceanic climate,21,91,0.23076923076923078,2051-2075-A1FI
3173337,Buddleja alternifolia,Cfb,Temperate oceanic climate,41,128,0.3203125,2051-2075-A1FI
5347603,Genista januensis,Csa,Hot-summer Mediterranean climate,29,91,0.31868131868131866,2076-2100-A1FI
7874546,Helichrysum orientale,Csa,Hot-summer Mediterranean climate,56,102,0.5490196078431373,2076-2100-A1FI
7754513,Haplophyllum buxbaumii,Csa,Hot-summer Mediterranean climate,30,43,0.6976744186046512,2076-2100-A1FI
5290161,Phyllostachys aureosulcata,Cfa,Humid subtropical climate,68,142,0.4788732394366197,2071-2100_Beck
5290161,Phyllostachys aureosulcata,Cfa,Humid subtropical climate,68,142,0.4788732394366197,2051-2075-A1FI
5290161,Phyllostachys aureosulcata,Cfa,Humid subtropical climate,68,142,0.4788732394366197,2076-2100-A1FI
4063741,Borago pygmaea,Cfb,Temperate oceanic climate,32,106,0.3018867924528302,2071-2100_Beck
4063741,Borago pygmaea,Cfb,Temperate oceanic climate,32,106,0.3018867924528302,2001-2025-A1FI
4063741,Borago pygmaea,Cfb,Temperate oceanic climate,32,106,0.3018867924528302,2026-2050-A1FI
4063741,Borago pygmaea,Cfb,Temperate oceanic climate,32,106,0.3018867924528302,2051-2075-A1FI
4063741,Borago pygmaea,Csa,Hot-summer Mediterranean climate,37,106,0.3490566037735849,2076-2100-A1FI
4111181,Bromus brachystachys,Csa,Hot-summer Mediterranean climate,16,20,0.8,2076-2100-A1FI
5588576,Silene disticha,Csa,Hot-summer Mediterranean climate,25,43,0.5813953488372093,2076-2100-A1FI
4066290,Heliotropium dolosum,Csa,Hot-summer Mediterranean climate,57,125,0.456,2076-2100-A1FI
5329198,Elodea callitrichoides,Cfb,Temperate oceanic climate,58,61,0.9508196721311475,2071-2100_Beck
5329198,Elodea callitrichoides,Cfb,Temperate oceanic climate,58,61,0.9508196721311475,2001-2025-A1FI
5329198,Elodea callitrichoides,Cfb,Temperate oceanic climate,58,61,0.9508196721311475,2026-2050-A1FI
5329198,Elodea callitrichoides,Cfb,Temperate oceanic climate,58,61,0.9508196721311475,2051-2075-A1FI
8279446,Ptilostemon gnaphaloides,Csa,Hot-summer Mediterranean climate,73,92,0.7934782608695652,2076-2100-A1FI
